id,saleprice
2658,139854.64146540963
2718,158424.775114626
2414,213831.81251213944
1989,104909.63145393366
625,176667.089630195
333,94740.71328869047
1327,97389.32090666819
858,152077.58950984056
95,181960.47730481232
1568,165647.3365286017
2482,150368.88351590442
1364,122516.24549593059
2584,152501.17927899986
818,276566.184576756
2673,137575.13734677076
2089,110991.67436910597
1297,153766.7804439628
790,112966.98473848683
2616,204839.6085870607
720,194121.6333175878
222,149303.54135585058
557,124402.69951393791
1148,184631.85521876463
2766,173348.1609783881
534,176510.56260127146
1452,120759.28917848715
630,124056.10337757532
2648,121723.4640007085
125,160160.48746641073
1904,67676.82481163411
1670,103762.55737247554
756,96353.54670643795
717,223669.5094813878
1032,160137.6143894215
852,197096.13280892133
1731,172504.75148318897
2639,115670.72950438708
2071,110730.49523592091
1267,121819.72547810621
1851,185831.03594589664
567,158285.24005924514
2439,201730.2959808716
1898,148344.7486308959
647,166165.7908390115
2256,212064.35767148616
979,92448.73312177742
1444,212547.62085405542
2485,122690.69128901117
157,126392.97832310887
88,115103.52168934038
2003,108671.37684141954
186,200673.57937359408
1425,229129.91641514836
2695,111699.62233552305
738,108149.39486506644
395,159350.76067193892
1353,175289.39833922958
1878,135771.2820306506
390,154177.38874148906
1456,231607.2714721771
1103,332106.8326672033
1387,133641.22659707494
2070,134293.7849109775
1199,182049.2559610196
2479,172067.26722783252
501,292749.4962618811
2362,93538.27038124358
1718,178260.04531017278
2188,84469.28450479808
1483,145743.839774048
2557,87473.0095265387
437,390007.0183830057
2224,178771.88071294004
1628,170811.58579182194
397,145378.15049953957
587,190017.890330109
2182,764881.7559890547
971,141325.1322519131
2611,143541.28758678542
1887,109465.19113926239
2399,393166.6463310798
2148,192057.53741347004
304,95706.82339078138
1997,121077.79136316241
2817,125312.70434115405
1431,182470.4544301144
427,344073.878701531
263,122654.08644358692
598,168620.28705632908
2895,223761.25707460105
687,141591.1739833627
1822,138611.5233546315
2191,113690.63912600487
179,128352.73948715029
1009,196554.55468130083
2010,132563.0356010053
1991,130126.85601594292
1411,151688.69638083104
1721,199966.44725670296
1144,184446.2110523716
593,216225.06127665107
575,367726.06933512655
1249,168469.0105866726
1604,115718.12831476255
1064,689556.4070278276
1923,157239.58816295638
1988,107385.83471007532
2325,166879.40804097574
114,194974.14536863097
2700,168294.40355219546
217,135321.8850074044
343,171163.28597651684
386,213241.60439106575
2005,117981.87683542848
2908,132597.30868283223
1814,246777.2460212888
2446,551350.6353708943
208,141770.3689666886
1679,108366.67521468528
822,350791.78750340745
6,185882.79098884808
1781,449146.72429147543
2397,276081.7105911229
2340,301387.0096056523
1618,175270.88187813933
2843,129665.07239078154
1061,375795.81091020594
2786,126166.08190613943
1935,135801.7925105086
1341,108945.29182887616
521,263213.06925319164
2136,139500.18371255544
996,202901.66485128534
227,147835.245604568
135,183373.6256315357
1167,154797.39409802717
294,233893.24115763284
1776,205739.98837224752
540,156428.86239101426
1717,182993.88614744743
2303,130659.3980366578
116,178213.66459343463
127,130245.13415906602
1371,132323.56033370263
1014,154463.4674637453
1507,113978.80596723508
702,112125.00027325691
750,147385.61275528654
261,164375.55614331347
1559,75390.75601619514
577,214096.31536540913
2812,191796.6492382273
2080,150727.14908654065
1368,108798.44697509552
2376,119865.26159685437
659,112694.13006786417
1235,136044.49706295095
332,84116.15544498703
1917,144849.56195515455
2094,242240.46029786018
1460,233553.79386099384
1471,217015.3945479019
1509,124060.58417909645
1922,127413.11044903564
433,621963.8002226094
460,257564.19742447697
1116,239174.9628893673
1137,159138.81464457503
53,157750.36461032
2354,260359.0013965235
1475,187950.06919931635
1761,805364.6648902581
842,142082.0180484781
2739,170227.3928133517
2509,147416.68054406435
1007,197703.74147410505
2610,176254.6378329794
1952,91270.9651677162
2719,155814.95354145023
2921,90074.51478681064
1966,145084.891207943
292,110243.39012956269
1204,176334.7701622304
1829,250294.8909437483
2419,184724.0918076256
391,150178.36167650987
798,115906.22172722238
481,197477.99623899776
193,193032.51362752233
555,125011.15357893644
899,66394.71423555
2357,171788.21391149185
328,127048.61695990317
1356,121406.82529273516
1154,106453.0752086855
1730,169694.90530677827
2249,156969.54815030447
1119,280135.3682304091
2856,137052.75961876218
1394,137220.46072193803
2587,138963.04329022914
61,315156.7160131074
2661,167196.52980994765
2711,136619.48474145413
1147,171556.78618496878
757,116920.90757979851
2623,107695.25927170202
2378,133159.8178849337
1413,141442.64667029344
1722,198491.1584152381
1112,209643.1715590471
1623,191004.03373892113
1201,179457.41715783987
1513,112321.38586731716
957,349298.2466092008
1171,272771.52842050703
1145,186915.71937977517
2726,248488.97760549365
703,139050.01561525688
760,93924.33032845374
1964,148848.6462552948
2512,179496.52618543152
159,119614.35762923345
1281,160118.00593288097
468,177751.48103045285
290,119237.06425808418
665,104062.92749827358
1463,235026.5799716436
1792,229524.93404859488
923,143644.18073868725
500,256622.5315928401
1408,183793.64003913067
331,85015.40192239566
170,108523.959321112
2192,92738.11906171136
2571,347585.32576101867
2314,171184.38803412364
2647,96884.34347302731
422,485538.219545785
2457,385402.5188048833
1838,200516.33148029554
2805,239733.5879434239
1645,151155.07085239975
1711,291829.9079275184
2825,219873.44624332394
322,338627.8619839885
2103,242576.36010904372
342,117218.54664569111
600,131415.49911001764
488,169645.16400673575
1725,305887.9411112584
2246,255106.27162115308
2847,144469.75684923015
806,235549.63401198882
530,228076.59777483804
963,184771.24200247406
2678,95371.56350547056
171,96436.74135038433
2401,484391.4089874666
805,218634.81338432495
2259,215408.0675603717
1748,179712.2214348099
1361,123154.31730857935
1677,105774.16201677195
1406,134863.203370361
2322,240808.23114462296
688,148341.4508299246
143,146741.30451235082
804,202706.07795618675
1214,153087.6940752606
2828,131089.78314963463
1999,179384.72439708887
2467,203199.27531009886
2665,152123.78045854802
1538,346242.09689819656
398,117182.18753270288
2822,127923.2245005817
2157,136324.01464971167
1856,198619.523989298
1269,112240.21658481576
2570,120633.39989040814
2320,221829.163638933
1517,147105.98127516097
2304,127340.4334240331
1312,107405.11249838301
2012,136501.81408797245
506,254048.27728897883
2865,232967.80699804486
2367,96268.11408924611
554,97043.92598227532
238,125687.23741928721
1954,117756.48080687417
2488,134142.75456486875
2291,78389.1905201
1969,107415.5655726276
2725,173357.89680432985
1482,139810.34490909448
2763,184655.26879638218
503,249920.64171363373
1584,244812.37853680854
1531,136351.49078344528
2210,174347.69608304877
459,335597.036037224
556,126411.53385034326
1347,121943.74969749889
1290,73138.64469849662
1388,98668.28419621552
1571,229364.53767007322
2754,187452.04272627892
765,136533.0427526919
2494,130723.80115690995
2870,228565.2029079479
7,201570.10361693753
1114,257858.72079645816
2418,267374.30387380376
291,128524.00000831844
18,334409.4649318479
39,415610.68915900134
1001,253339.7813651855
2442,218980.0391687228
616,113135.43786978196
2680,82374.09623238287
1414,142730.04134850987
289,145917.2349655557
40,245779.7456292567
860,120785.63192961809
409,137668.99496990527
673,147034.2472566726
2427,170250.71613899933
2036,195160.3641657449
2564,141451.3142429955
642,147763.40970111167
1008,186184.6611692298
1908,131427.97126406396
2519,187696.69283052252
1369,90215.0074307709
2855,171998.9273973105
712,98380.42221384998
1943,113872.71222519022
1958,124720.24479633875
107,149207.871521892
2295,197741.30506087074
704,104606.67369793847
676,147275.5176591658
259,178133.0774338371
93,303007.9381189418
106,244659.73331456364
2315,172192.39164704454
1050,109417.36840935664
1095,198549.60597519638
2709,143327.12173303668
758,122342.7046543726
1496,144158.74840351462
2370,117895.5176198458
2458,273434.96039665927
2733,129175.99506672901
161,255485.86403166442
726,151420.02996274113
845,203742.9366760159
947,240605.51335194585
2232,109192.014208197
2563,154048.09977295191
2299,134104.47971611048
211,111048.95513195026
605,154388.3863421991
1478,199824.97717673876
2247,250163.51913713594
2274,183469.056359214
2869,213593.44768624543
967,200266.01965276795
2656,114463.65044281958
667,170631.02095656074
1042,105139.29869793437
2023,163111.16918094395
2447,412415.0228827274
2055,131638.610225285
2275,289747.49353330757
2204,177751.07862016023
1563,252361.99440009525
483,193252.45798000888
796,113884.22746544213
1526,180263.87531940817
2042,121705.61961433913
442,370368.34981351724
1693,328051.5274060002
1468,218075.14571192948
1430,207913.4211392411
2605,143125.66921921304
1529,217477.6221624156
335,151748.78795835262
1287,119741.33148617456
31,92503.28329901255
1785,325666.3687243101
82,160285.43208252237
2620,119625.25675580402
252,178821.22882486324
721,71321.37276124455
2165,178547.81230869947
2316,183368.96077163873
775,122666.750383138
1558,77231.4454348894
17,215154.66860794264
1022,218862.50741267038
925,134391.46410777885
438,268661.068431735
1270,150772.97385190707
1272,123590.29541676943
215,138533.63405762336
266,223121.01804637554
2402,274022.20912352495
1250,131413.62348591027
1984,103022.26917049507
1279,145585.73326554126
377,248479.01956342894
1252,125433.59397715458
2156,259961.1165479883
499,317511.47009990533
1374,128722.51224611572
2898,242269.00322942168
401,116906.75902013076
2721,160804.88289496
2078,253968.95805840899
2589,131690.3608830675
1946,196765.62578914055
1334,137346.70645601006
2781,212674.51907966431
431,437184.3709425515
576,186604.01491125175
1474,204022.32350514346
2254,132818.9226545459
2155,280864.2281560945
885,102768.77205667904
643,146463.81564652885
1944,126138.88918814297
480,188375.27517571027
2845,116668.50182077447
2387,311180.2222808501
2407,195069.9345178781
2527,158956.618119438
2514,153166.4373763074
629,141265.69218267733
80,204643.94565402865
1876,136250.81171923893
1546,114540.75171577773
2518,177251.3484858688
2347,160322.11610075485
783,243940.6666928236
1322,63796.33446372719
194,94961.6756570602
1770,288496.9320326756
2143,135809.2508129463
1229,206627.2021529975
511,294823.5153749771
46,210527.80755167734
1348,152078.08277524885
2465,201813.8575265478
387,233564.43251781724
873,216690.5242970676
1918,130222.84593754787
2764,231638.65366670978
2184,119636.81178785267
934,130878.7445644153
1920,124627.00180951091
2631,145654.54389066604
1768,709309.5322121818
2040,116637.11442903607
1749,210018.11716063466
834,238337.49837615254
1457,221484.80598302966
79,114172.22145049406
2302,125267.1052343504
1817,148205.2165846547
2755,222313.52283009788
359,175089.57742276086
2059,108318.53106862935
2092,224217.80083046883
2516,224519.98674558118
150,128421.76255716117
1656,142396.29956123172
83,102442.51242884745
2411,172108.06903695076
795,81378.65946147204
2312,211948.0020017165
2917,104331.75228445337
1624,178340.33064294545
2215,295737.9299969423
1211,149933.4787483115
1485,145626.22120873947
1024,168815.21957882796
570,179666.238631879
2874,133750.89219899802
700,126658.59280206518
2756,197768.9907407873
2022,169822.00906494245
583,238738.0954919301
2392,402091.92190753407
2424,174469.14852037333
212,116933.30590122253
736,140413.59175319737
1610,165803.41069403067
890,115050.35883095002
467,173806.947297813
578,203829.86898108906
1747,195927.32248162085
1149,153176.35643507828
2758,253303.36811972284
857,141462.3514651208
2219,303157.19789551536
733,113972.92622649345
2909,110976.17104335912
1798,253636.6315412053
235,112234.61414773618
2366,128022.10386591249
1027,137765.45759356985
1195,137145.6542835149
1303,57643.84526504228
148,175783.73739627414
608,150391.33289789854
2515,185396.96210004232
821,276923.32744957606
2500,270762.01380693464
745,111846.98405239447
741,128727.60104635074
1611,114526.52514496024
2532,124148.86489833036
1081,223394.319092813
1692,478378.32267701114
2520,161897.09094415163
276,106487.07157322615
1992,132897.20764742218
663,57508.21654159842
418,113226.58647515817
1733,201372.46235351672
2359,147312.06528346345
253,170585.1325476286
1518,174472.51572482448
2035,118710.68061437749
2919,79993.63849276435
1540,267725.1259979563
2120,141170.80277737018
1674,151023.494848797
256,159261.19947801015
2361,112844.62411335093
978,79770.90174656185
2280,139811.8952157612
2095,217614.51789966124
1709,327635.33334106044
2801,248668.6011056565
1246,122720.71226163895
2373,94693.90408149832
1055,291563.1713350723
2017,131107.96635859355
1099,248537.49043610596
1344,98628.95947750339
835,189419.7676905126
1117,230095.44436063728
2043,90961.41688020644
2085,106194.99420602675
410,139784.0597170538
2650,114999.47094831435
2867,181944.40509544374
1668,113649.98004733081
1161,159121.90745867908
2122,172505.55007419348
2539,146974.17280193334
1047,133108.27424675957
1445,130817.21284826958
541,123527.3942645955
569,202126.0705931046
1276,117102.73861487262
918,158494.70503703234
326,158663.56452238787
1936,131983.2786877594
895,86563.80036117889
257,143575.76113390448
1241,179087.73290026496
1545,118937.33191440723
1189,174281.39992359796
270,136340.0901616418
2066,168564.9533300993
693,110142.5041575099
1259,132777.44966865366
2916,136538.09188874517
2321,271706.95103109017
1977,90546.69255719363
1895,136988.42022169204
1240,168203.131110821
85,160476.86590445825
1823,120849.90418886572
825,295110.8630325994
110,231595.0299838759
697,128206.23914576165
2297,116571.35366384391
1231,144359.50108085325
1355,134349.4362257389
968,359185.577784094
584,209445.56867046078
1315,127808.33748467313
1606,140111.718216027
206,76060.83145272276
1685,404812.131259392
2016,134813.80233110898
869,199315.8056804616
2135,128914.2943926988
2346,175594.96135085972
2430,224763.65579073876
2198,100521.83364036962
2652,109916.27275511816
27,113467.82325427183
241,146217.5719444663
906,117424.82466453676
1506,118316.10336771996
2098,370451.6589290728
1435,225063.61774528827
2213,121377.88803838771
1274,139637.09406088022
743,59540.95155457314
1737,191801.04782378123
2797,274798.4905832088
2185,72294.80148094686
58,167683.7824821666
830,189346.85022352636
808,119362.16869854975
680,147322.8703360313
1153,109977.49745661639
1291,128829.95085154325
1818,133014.8961386542
2161,181630.02347016046
1883,119020.92861360036
350,352045.93304995616
2473,138368.73516647576
295,182772.07643687146
293,173553.12959434433
859,134854.18925137538
288,80665.23905486145
1578,140426.04676669475
102,169534.42332580607
2831,138220.72718170972
1030,153775.4970174484
2551,151483.54333064423
1286,145808.1773151868
958,324724.74920740887
776,127734.18909665756
72,242417.91072131976
2263,245688.8764865139
1866,166077.25623076624
2876,79405.16840973987
2146,235119.53837432247
103,169909.31625812626
1500,126928.9569931491
492,176006.00298131828
167,150489.9203571915
2597,106253.36318664312
2685,113886.70276097878
1035,170057.87511929046
1220,77837.58697547439
2602,158209.90144984284
2159,199589.06782515632
695,144436.66027846263
1109,270038.47414547345
640,165049.250140647
1652,153042.6696814018
2090,163707.74038822248
1188,167538.67914061554
2345,233342.98570323118
1059,451584.73303729005
2751,224424.73468075957
128,215758.80856567924
1523,179454.5913937357
2925,185116.10017904552
2145,287555.11439518456
1121,220050.85768468952
566,245314.5019434669
565,258668.80219974657
1331,133279.39296111773
2928,116522.43745081438
156,141312.18880274508
797,125620.628552167
327,91026.90762857962
2859,154455.6357651831
1453,123981.25945885111
1762,352890.6584305366
1868,185883.79321504262
1760,174320.27463106546
1113,234475.53714301396
1812,190453.02284276768
117,153828.0367153813
1142,204385.27543590814
2342,439518.78372777783
927,140488.63586204188
2478,173996.71966969618
655,77176.06051360638
2064,124366.29705048863
369,268794.0452320348
2239,110529.37792905344
2732,202501.3609576621
1653,162924.6852701169
959,203956.57115602112
2395,361436.39569070365
1412,99193.20438119583
271,238698.52180850194
1484,139407.0605083038
1497,133568.8363990556
552,155700.9104005266
2,112977.96743408144
1855,314238.5277117922
4,288387.93318776175
2292,155513.336016418
134,141898.0692832601
646,112827.5874062106
42,309326.92598939134
532,231646.29142111572
713,96965.45401864371
2561,141128.98516659022
2360,131971.65526351405
1333,120151.33410979444
1407,231481.73766786876
2892,294368.8187934136
574,202165.84674406654
1227,168799.9800901857
2591,225718.82223358666
1476,206143.65560359697
1125,253413.97686833318
1446,149107.66448133692
408,110606.96519204082
1101,295528.9301915121
2251,182602.99666737896
373,175311.10333882374
2554,139659.86524522663
2382,254640.08005543536
1985,93245.20737945898
519,234285.6790514913
1093,185716.4131907147
864,238389.519958371
2889,145375.83907818605
2308,173751.03964853575
986,160260.71382668143
1302,142537.22510344285
585,154748.25691268005
2708,149995.9667079125
147,129920.04280557057
